,Unnamed: 0,unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,resolution_description,resolution_action_updated_date,bridge_highway_name,bridge_highway_segment,closed_date,road_ramp,facility_type,bridge_highway_direction,taxi_company_borough,taxi_pick_up_location,vehicle_type,due_date
579,218062,53834180,2022-04-05T09:20:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10039,159-64 HARLEM RIVER DRIVE SERVICE RD W,HARLEM RIVER DRIVE SERVICE RD W,8 AVE,HARLEM RIVER DRIVE EXIT 23   SB,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1021060320.0,MANHATTAN,1002084,243792,ONLINE,Unspecified,MANHATTAN,40.83581004322532,-73.93555123799318,"{'latitude': '40.83581004322532', 'longitude': '-73.93555123799318', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13097.0,47,4,39,21,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-07T09:23:00.000,,,2022-04-07T09:23:00.000,,,,,,,
581,218721,53835388,2022-04-05T08:02:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10030,258 WEST  139 STREET,WEST  139 STREET,ADAM CLAYTON POWELL JR BLVD,FREDERICK DOUGLASS BLVD,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1020240058.0,MANHATTAN,999741,237579,ONLINE,Unspecified,MANHATTAN,40.81876155466095,-73.94403274746335,"{'latitude': '40.818761554660945', 'longitude': '-73.94403274746335', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12427.0,18,4,36,20,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-05T13:18:00.000,,,2022-04-05T13:18:00.000,,,,,,,
612,228344,53817194,2022-04-03T23:45:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10039,159-64 HARLEM RIVER DRIVE SERVICE RD W,HARLEM RIVER DRIVE SERVICE RD W,8 AVE,HARLEM RIVER DRIVE EXIT 23   SB,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1021060320.0,MANHATTAN,1002084,243792,ONLINE,Unspecified,MANHATTAN,40.83581004322532,-73.93555123799318,"{'latitude': '40.83581004322532', 'longitude': '-73.93555123799318', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13097.0,47,4,39,21,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-05T09:13:00.000,,,2022-04-05T09:13:00.000,,,,,,,
614,228681,53820331,2022-04-03T22:30:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10009,500 EAST   13 STREET,EAST   13 STREET,AVENUE A,AVENUE B,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1004060008.0,MANHATTAN,989651,205079,ONLINE,Unspecified,MANHATTAN,40.72956951528939,-73.98051290928773,"{'latitude': '40.72956951528939', 'longitude': '-73.98051290928773', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11729.0,70,4,50,5,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-05T13:16:00.000,,,2022-04-05T13:16:00.000,,,,,,,
818,278834,53762614,2022-03-28T14:12:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10030,129 WEST  138 STREET,WEST  138 STREET,LENOX AVE,ADAM CLAYTON POWELL JR BLVD,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1020070010.0,MANHATTAN,1000273,236995,ONLINE,Unspecified,MANHATTAN,40.81715769016297,-73.9421120857698,"{'latitude': '40.81715769016297', 'longitude': '-73.9421120857698', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12427.0,18,4,36,20,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-29T11:05:00.000,,,2022-03-29T11:05:00.000,,,,,,,
821,279333,53763907,2022-03-28T13:24:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10009,63 AVENUE A,AVENUE A,E 4 ST,E 5 ST,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1004320001.0,MANHATTAN,988488,203216,ONLINE,Unspecified,MANHATTAN,40.72445666766382,-73.98471024733142,"{'latitude': '40.72445666766382', 'longitude': '-73.98471024733142', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11729.0,70,4,50,5,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-29T11:05:00.000,,,2022-03-29T11:05:00.000,,,,,,,
854,287165,53754903,2022-03-27T14:10:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10002,9 ALLEN STREET,ALLEN STREET,DIVISION ST,CANAL ST,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1002930017.0,MANHATTAN,986324,199788,ONLINE,Unspecified,MANHATTAN,40.7150484051894,-73.99251852978124,"{'latitude': '40.7150484051894', 'longitude': '-73.99251852978124', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723.0,70,4,32,2,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-28T16:48:00.000,,,2022-03-28T16:48:00.000,,,,,,,
861,292381,53749036,2022-03-26T19:52:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10002,179 ESSEX STREET,ESSEX STREET,STANTON ST,AVENUE A,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1004120062.0,MANHATTAN,988037,202382,ONLINE,Unspecified,MANHATTAN,40.72216774418037,-73.98633782334784,"{'latitude': '40.72216774418037', 'longitude': '-73.98633782334784', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723.0,70,4,32,4,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-28T16:48:00.000,,,2022-03-28T16:48:00.000,,,,,,,
864,293878,53752958,2022-03-26T15:00:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10032,255 FT WASHINGTON AVENUE,FT WASHINGTON AVENUE,W 170 ST,W 171 ST,,,ADDRESS,NEW YORK,,Closed,12 MANHATTAN,1021390175.0,MANHATTAN,1000458,246671,ONLINE,Unspecified,MANHATTAN,40.84371519241383,-73.94142034033212,"{'latitude': '40.84371519241383', 'longitude': '-73.94142034033212', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13090.0,47,4,39,21,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-28T16:47:00.000,,,2022-03-28T16:47:00.000,,,,,,,
872,298735,53744389,2022-03-25T21:06:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10032,602 WEST  165 STREET,WEST  165 STREET,BROADWAY,FT WASHINGTON AVE,,,ADDRESS,NEW YORK,,Closed,12 MANHATTAN,1021370181.0,MANHATTAN,1000411,245101,PHONE,Unspecified,MANHATTAN,40.83940608776197,-73.94159399314557,"{'latitude': '40.83940608776197', 'longitude': '-73.94159399314557', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13090.0,47,4,23,21,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-28T16:47:00.000,,,2022-03-28T16:47:00.000,,,,,,,
979,324974,53715343,2022-03-22T14:16:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10039,210 WEST  150 STREET,WEST  150 STREET,ADAM CLAYTON POWELL JR BLVD,FREDERICK DOUGLASS BLVD,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1020350001.0,MANHATTAN,1001570,239879,ONLINE,Unspecified,MANHATTAN,40.82507100584646,-73.93741884033707,"{'latitude': '40.82507100584646', 'longitude': '-73.93741884033707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13097.0,18,4,36,20,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-23T11:04:00.000,,,2022-03-23T11:04:00.000,,,,,,,
1020,335755,53709413,2022-03-21T10:16:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10009,109 ST MARKS PLACE,ST MARKS PLACE,1 AVE,AVENUE A,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1004360042.0,MANHATTAN,988509,204261,ONLINE,Unspecified,MANHATTAN,40.72732492852776,-73.98463382269713,"{'latitude': '40.72732492852776', 'longitude': '-73.98463382269713', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11729.0,70,4,50,5,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-22T11:23:00.000,,,2022-03-22T11:23:00.000,,,,,,,
1056,348903,53693304,2022-03-19T13:53:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10002,108 ELDRIDGE STREET,ELDRIDGE STREET,GRAND ST,BROOME ST,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1004130002.0,MANHATTAN,986459,200867,ONLINE,Unspecified,MANHATTAN,40.71800996896498,-73.99203119475816,"{'latitude': '40.71800996896498', 'longitude': '-73.99203119475816', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723.0,70,4,32,2,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-21T11:39:00.000,,,2022-03-21T11:39:00.000,,,,,,,
1057,349197,53688600,2022-03-19T12:59:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10031,3647 BROADWAY,BROADWAY,W 150 ST,W 151 ST,,,ADDRESS,NEW YORK,,Closed,09 MANHATTAN,1020970027.0,MANHATTAN,998631,241585,ONLINE,Unspecified,MANHATTAN,40.82975876234579,-73.94803446649952,"{'latitude': '40.82975876234579', 'longitude': '-73.94803446649952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12428.0,37,4,23,19,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-21T11:39:00.000,,,2022-03-21T11:39:00.000,,,,,,,
1131,372441,53661188,2022-03-16T14:28:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10032,596 EDGECOMBE AVENUE,EDGECOMBE AVENUE,W 162 ST,W 163 ST,,,ADDRESS,NEW YORK,,Closed,12 MANHATTAN,1021100024.0,MANHATTAN,1001541,243655,ONLINE,Unspecified,MANHATTAN,40.835435097764496,-73.9375138915808,"{'latitude': '40.835435097764496', 'longitude': '-73.9375138915808', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13090.0,47,4,39,21,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-17T11:04:00.000,,,2022-03-17T11:04:00.000,,,,,,,
1155,375767,53662389,2022-03-16T08:34:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10032,666 WEST  162 STREET,WEST  162 STREET,FT WASHINGTON AVE,RIVERSIDE DR,,,ADDRESS,NEW YORK,,Closed,12 MANHATTAN,1021360175.0,MANHATTAN,999465,244658,ONLINE,Unspecified,MANHATTAN,40.838191862288745,-73.94501385014351,"{'latitude': '40.838191862288745', 'longitude': '-73.94501385014351', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13090.0,47,4,23,21,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-16T10:30:00.000,,,2022-03-16T10:30:00.000,,,,,,,
1157,375805,53662390,2022-03-16T08:28:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10002,163 BOWERY,BOWERY,BROOME ST,DELANCEY ST,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1004240007.0,MANHATTAN,985849,201533,ONLINE,Unspecified,MANHATTAN,40.71983811008116,-73.9942315667322,"{'latitude': '40.719838110081156', 'longitude': '-73.9942315667322', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723.0,70,4,32,2,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-17T08:28:00.000,,,2022-03-17T08:28:00.000,,,,,,,
1161,377022,53663611,2022-03-16T00:47:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10031,517 WEST  147 STREET,WEST  147 STREET,AMSTERDAM AVE,BROADWAY,,,ADDRESS,NEW YORK,,Closed,09 MANHATTAN,1020790021.0,MANHATTAN,998805,240527,PHONE,Unspecified,MANHATTAN,40.82685457012824,-73.94740801549926,"{'latitude': '40.82685457012824', 'longitude': '-73.94740801549926', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12428.0,37,4,23,19,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-16T09:46:00.000,,,2022-03-16T09:46:00.000,,,,,,,
1172,383144,53657661,2022-03-15T10:29:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10013,324 CANAL STREET,CANAL STREET,BROADWAY,MERCER ST,,,ADDRESS,NEW YORK,,Closed,01 MANHATTAN,1002100010.0,MANHATTAN,983440,201636,ONLINE,Unspecified,MANHATTAN,40.72012092769649,-74.00292210804992,"{'latitude': '40.72012092769649', 'longitude': '-74.00292210804992', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12076.0,56,4,32,1,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-15T14:43:00.000,,,2022-03-15T14:43:00.000,,,,,,,
1188,385030,53656499,2022-03-15T04:04:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10032,1970 AMSTERDAM AVENUE,AMSTERDAM AVENUE,W 157 ST,W 158 ST,,,ADDRESS,NEW YORK,,Closed,12 MANHATTAN,1021160033.0,MANHATTAN,1000424,242961,ONLINE,Unspecified,MANHATTAN,40.83353238478723,-73.94155217140845,"{'latitude': '40.83353238478723', 'longitude': '-73.94155217140845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13090.0,47,4,23,21,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-15T11:08:00.000,,,2022-03-15T11:08:00.000,,,,,,,
1193,386851,53648586,2022-03-14T20:08:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10009,202 1 AVENUE,1 AVENUE,E 12 ST,E 13 ST,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1004400003.0,MANHATTAN,988855,205309,ONLINE,Unspecified,MANHATTAN,40.73020125925263,-73.98338476147465,"{'latitude': '40.73020125925263', 'longitude': '-73.98338476147465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11724.0,70,4,50,5,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-15T11:08:00.000,,,2022-03-15T11:08:00.000,,,,,,,
1215,392190,53648590,2022-03-14T09:17:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10032,501 WEST  168 STREET,WEST  168 STREET,AMSTERDAM AVE,AUDUBON AVE,,,ADDRESS,NEW YORK,,Closed,12 MANHATTAN,1021250049.0,MANHATTAN,1001647,245306,ONLINE,Unspecified,MANHATTAN,40.83996640452136,-73.93712654716953,"{'latitude': '40.83996640452136', 'longitude': '-73.93712654716953', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13090.0,47,4,39,21,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-14T11:04:00.000,,,2022-03-14T11:04:00.000,,,,,,,
1222,394961,53638543,2022-03-13T20:34:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10026,18 MORNINGSIDE AVENUE,MORNINGSIDE AVENUE,W 115 ST,W 116 ST,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1018497502.0,MANHATTAN,995820,232732,ONLINE,Unspecified,MANHATTAN,40.805463896397605,-73.95820723478538,"{'latitude': '40.805463896397605', 'longitude': '-73.95820723478538', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12422.0,37,4,23,17,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-14T11:23:00.000,,,2022-03-14T11:23:00.000,,,,,,,
1232,397106,53637693,2022-03-13T13:24:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10002,164 ATTORNEY STREET,ATTORNEY STREET,STANTON ST,E HOUSTON ST,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1003450007.0,MANHATTAN,988894,201856,ONLINE,Unspecified,MANHATTAN,40.72072359280745,-73.9832464289191,"{'latitude': '40.72072359280745', 'longitude': '-73.9832464289191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723.0,70,4,50,4,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-14T11:23:00.000,,,2022-03-14T11:23:00.000,,,,,,,
1257,410640,53621267,2022-03-11T13:14:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10002,60 COLUMBIA STREET,COLUMBIA STREET,DELANCEY ST,RIVINGTON ST,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1003230001.0,MANHATTAN,989777,200643,ONLINE,Unspecified,MANHATTAN,40.71739369205981,-73.98006193768909,"{'latitude': '40.71739369205981', 'longitude': '-73.98006193768909', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723.0,70,4,50,4,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-14T11:21:00.000,,,2022-03-14T11:21:00.000,,,,,,,
1286,417851,53611685,2022-03-10T15:08:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10037,630 LENOX AVENUE,LENOX AVENUE,W 141 ST,W 142 ST,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1017370069.0,MANHATTAN,1001428,237337,ONLINE,Unspecified,MANHATTAN,40.818094213398375,-73.93793842629789,"{'latitude': '40.818094213398375', 'longitude': '-73.93793842629789', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13095.0,18,4,36,20,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-11T12:02:00.000,,,2022-03-11T12:02:00.000,,,,,,,
1290,418676,53610603,2022-03-10T13:15:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10030,307 WEST  137 STREET,WEST  137 STREET,FREDERICK DOUGLASS BLVD,EDGECOMBE AVE,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1020410012.0,MANHATTAN,999195,237294,ONLINE,Unspecified,MANHATTAN,40.81798025056618,-73.94600601864146,"{'latitude': '40.81798025056618', 'longitude': '-73.94600601864146', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12427.0,18,4,36,20,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-11T12:03:00.000,,,2022-03-11T12:03:00.000,,,,,,,
1312,421816,53611135,2022-03-10T07:26:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10037,23 WEST  131 STREET,WEST  131 STREET,5 AVE,LENOX AVE,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1017290025.0,MANHATTAN,1000726,234619,ONLINE,Unspecified,MANHATTAN,40.81063540174268,-73.94048131978731,"{'latitude': '40.81063540174268', 'longitude': '-73.94048131978731', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13095.0,18,4,36,20,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-10T12:11:00.000,,,2022-03-10T12:11:00.000,,,,,,,
1322,425965,53600871,2022-03-09T14:15:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10027,39 CLAREMONT AVENUE,CLAREMONT AVENUE,BEND,W 119 ST,,,ADDRESS,NEW YORK,,Closed,09 MANHATTAN,1019900029.0,MANHATTAN,994487,234759,ONLINE,Unspecified,MANHATTAN,40.81102909510421,-73.96301916092041,"{'latitude': '40.81102909510421', 'longitude': '-73.96301916092041', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12424.0,37,4,23,17,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-10T12:12:00.000,,,2022-03-10T12:12:00.000,,,,,,,
1342,433183,53598221,2022-03-08T15:45:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10027,260 WEST  131 STREET,WEST  131 STREET,ADAM CLAYTON POWELL JR BLVD,FREDERICK DOUGLASS BLVD,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1019330050.0,MANHATTAN,998212,235995,ONLINE,Unspecified,MANHATTAN,40.81441646852316,-73.9495601476602,"{'latitude': '40.81441646852316', 'longitude': '-73.9495601476602', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12424.0,37,4,36,17,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-09T11:57:00.000,,,2022-03-09T11:57:00.000,,,,,,,
1346,433318,53595826,2022-03-08T15:26:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10035,2007 5 AVENUE,5 AVENUE,E 124 ST,E 125 ST,,,ADDRESS,NEW YORK,,Closed,11 MANHATTAN,1017490003.0,MANHATTAN,1000150,232923,ONLINE,Unspecified,MANHATTAN,40.80598140745058,-73.94256610580344,"{'latitude': '40.80598140745058', 'longitude': '-73.94256610580344', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13093.0,7,4,36,16,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-09T11:58:00.000,,,2022-03-09T11:58:00.000,,,,,,,
1358,435251,53592176,2022-03-08T11:51:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10027,195 CLAREMONT AVENUE,CLAREMONT AVENUE,LA SALLE ST,TIEMANN PL,,,ADDRESS,NEW YORK,,Closed,09 MANHATTAN,1019940072.0,MANHATTAN,995502,236590,ONLINE,Unspecified,MANHATTAN,40.8160534442371,-73.95934943648366,"{'latitude': '40.8160534442371', 'longitude': '-73.95934943648366', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12424.0,37,4,23,17,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-09T10:21:00.000,,,2022-03-09T10:21:00.000,,,,,,,
1374,437410,53598227,2022-03-08T08:12:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10038,7 ST JAMES PLACE,ST JAMES PLACE,PEARL ST,MADISON ST,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1001110100.0,MANHATTAN,984204,198427,ONLINE,Unspecified,MANHATTAN,40.71131302761004,-74.0001659249488,"{'latitude': '40.71131302761004', 'longitude': '-74.0001659249488', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13096.0,70,4,32,2,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-08T14:27:00.000,,,2022-03-08T14:27:00.000,,,,,,,
1376,437453,53595831,2022-03-08T08:09:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10009,141 EAST    3 STREET,EAST    3 STREET,1 AVE,AVENUE A,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1004310031.0,MANHATTAN,988653,202748,ONLINE,Unspecified,MANHATTAN,40.72317204049028,-73.98411527056143,"{'latitude': '40.72317204049028', 'longitude': '-73.98411527056143', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11729.0,70,4,50,5,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-08T14:27:00.000,,,2022-03-08T14:27:00.000,,,,,,,
1406,445873,53581283,2022-03-07T08:41:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10032,521 WEST  156 STREET,WEST  156 STREET,AMSTERDAM AVE,BROADWAY,,,ADDRESS,NEW YORK,,Closed,12 MANHATTAN,1021150047.0,MANHATTAN,999934,242620,ONLINE,Unspecified,MANHATTAN,40.832597321936426,-73.94332367649486,"{'latitude': '40.832597321936426', 'longitude': '-73.94332367649486', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13090.0,47,4,23,21,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-08T14:28:00.000,,,2022-03-08T14:28:00.000,,,,,,,
1434,451677,53571909,2022-03-06T12:21:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10031,615 WEST  135 STREET,WEST  135 STREET,BROADWAY,RIVERSIDE DR,,,ADDRESS,NEW YORK,,Closed,09 MANHATTAN,1020020022.0,MANHATTAN,996483,238180,ONLINE,Unspecified,MANHATTAN,40.82041624268711,-73.9558024396943,"{'latitude': '40.82041624268711', 'longitude': '-73.9558024396943', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12428.0,37,4,23,19,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-08T14:30:00.000,,,2022-03-08T14:30:00.000,,,,,,,
1456,466001,53554609,2022-03-04T13:34:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10030,137 WEST  141 STREET,WEST  141 STREET,LENOX AVE,ADAM CLAYTON POWELL JR BLVD,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1020100006.0,MANHATTAN,1000964,237504,PHONE,Unspecified,MANHATTAN,40.81855347144147,-73.93961437322271,"{'latitude': '40.81855347144147', 'longitude': '-73.93961437322271', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12427.0,18,4,36,20,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-03-07T11:58:00.000,,,2022-03-07T11:58:00.000,,,,,,,
